Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1679627740.434413,1,-32149.519879,-34612.346841,-61186.514638,-45587.634514,-187500.022352,-32347.7575,-187500.022352,-40893.164682,-35397.38481,-187500.022352,187500.0,-187500.022352,-20979.503808,-48683.97697,-52411.867966,-31020.846191
1679627740.434433,1,-32126.09525,-34585.949431,-61187.699281,-45585.354636,-187500.022352,-32346.125823,-187500.022352,-40884.492205,-35397.653031,-187500.022352,187500.0,-187500.022352,-20987.125753,-48690.548383,-52422.596803,-31001.355469
1679627740.434471,1,-32137.025253,-34601.707411,-61190.560304,-45584.661732,-187500.022352,-32338.414471,-187500.022352,-40875.618562,-35397.317755,-187500.022352,187500.0,-187500.022352,-20989.562093,-48682.166479,-52419.266393,-30983.071742
1679627740.434488,1,-32135.43828,-34598.354649,-61192.907237,-45594.183575,-187500.022352,-32345.589381,-187500.022352,-40883.933411,-35393.115627,-187500.022352,187500.0,-187500.022352,-20988.086878,-48683.84286,-52421.523919,-31015.928807
1679627740.434506,1,-32135.393576,-34604.344917,-61188.32513,-45591.926049,-187500.022352,-32339.599113,-187500.022352,-40875.953838,-35397.675383,-187500.022352,187500.0,-187500.022352,-20991.305529,-48683.619342,-52414.460768,-30980.009553
1679627740.434523,1,-32148.51405,-34606.714202,-61189.688586,-45590.875517,-187500.022352,-32336.268703,-187500.022352,-40874.679789,-35398.904729,-187500.022352,187500.0,-187500.022352,-20986.052869,-48683.32877,-52410.839785,-31008.709193
1679627740.434541,1,-32139.573352,-34591.626774,-61194.807135,-45596.172881,-187500.022352,-32339.465003,-187500.022352,-40873.450443,-35396.155464,-187500.022352,187500.0,-187500.022352,-20982.968328,-48681.183002,-52410.63862,-30995.812237
1679627740.434557,1,-32148.826974,-34601.103914,-61199.836278,-45605.292392,-187500.022352,-32341.968398,-187500.022352,-40880.446539,-35400.759924,-187500.022352,187500.0,-187500.022352,-20991.037308,-48689.766072,-52419.087579,-30989.330231
1679627740.434574,1,-32143.820184,-34613.240911,-61196.170592,-45601.716113,-187500.022352,-32342.124861,-187500.022352,-40877.116129,-35399.217653,-187500.022352,187500.0,-187500.022352,-20987.483381,-48691.263639,-52420.607498,-31025.003615
1679627740.434592,1,-32150.4363,-34609.485818,-61197.109365,-45603.951288,-187500.022352,-32343.197744,-187500.022352,-40877.920792,-35413.969805,-187500.022352,187500.0,-187500.022352,-20993.048965,-48685.921572,-52413.745512,-30978.601394
